,,,,,,Hosts:,,,,,,,,,,,,,,,,,,,,,,
WEEK #,Holiday,Date of Holiday,Date,Total # of Sandwiches,,"ALPHARETTA ( Karen, Nancy, Carrey, Kelly, Jason)",PREVIOUS BUCKHEAD,PREVIOUS OAK GROVE,"DUNWOODY/PTC (Marcy, Lisa, Darren, Renee, Suzanna, Sonika, Tracie)","E COBB/ROSWELL (Natalie, Silke, Vicki, Rachel, Judy, Jenny)",DECATUR (Sonika),"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",UGA/Athens,"SANDY SPRINGS (Allison, Jen, Terri, Sarah, Kate)","INTOWN/DRUID HILLS (Laura, Jordan, Angie, Della, Julie, Ashley)",SNELLVILLE,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,FLOWERY BRANCH (Kristina),"GROUPS
(Numbers displayed only when not included in a host's count)",TOTAL,NOTES,VALID WEEK?,,
138,THXGIVING,11/23/2022,11/23/2022,0,,,,,,,0,,,,,0,,,,,,,0,,,FALSE,,
139,,,11/30/2022,"16,037",,"1,543",0,0,"1,156","1,497",248,347,,948,363,200,"4,652",0,0,0,0,431,"4,652",,,TRUE,,
140,,,12/7/2022,"11,553",,"1,134",0,0,1238,"1,826",150,410,,517,487,100,"2,722",0,0,0,0,247,"2,722",,,TRUE,,
141,,,12/14/2022,"7,342",,"1,471",0,0,"2,186","1,690",233,530,,560,235,136,0,0,0,0,0,301,0,,,TRUE,,
142,,,12/21/2022,12568,,493,0,0,1204,"1,856",0,321,,184,300,210,"4,000",0,0,0,0,,"4,000",,,TRUE,,
143,,,12/28/2022,3765,,799,0,0,888,"1,411",0,140,,40,40,0,100,0,0,0,0,247,100,,,TRUE,,
144,,,1/4/2023,4746,,818,0,0,"1,326","1,204",161,263,,250,206,106,0,0,0,0,0,412,0,,,TRUE,,
145,MLK,1/15/2023,1/11/2023,5134,,888,0,0,"1,422",650,622,444,,514,152,151,GROUPS,0,0,0,0,291,,,,TRUE,,
146,,,1/18/2023,6388,,908,0,0,"1,243","1,614",465,290,,603,627,148,0,0,0,0,0,490,0,,,TRUE,,
147,,,1/25/2023,7153,,1025,0,0,"2,023","1,465",345,514,,710,605,166,GROUPS,0,0,0,0,300,,,,TRUE,,
148,,,2/1/2023,"13,902",,"1,471",0,0,"1,461","2,096",230,496,,988,762,183,"2,998",0,0,0,0,219,"2,998",,,TRUE,,
149,,,2/8/2023,"6,283",,"1,889",0,0,1488,872,140,0,,531,"1,176",187,GROUPS,0,0,0,0,,,,,TRUE,,
150,,,2/15/2023,"17,340",,"2,637",0,0,"2,342","1,292",269,0,,479,855,191,"4,485",0,0,0,0,305,"4,485",,,TRUE,,
151,,,2/22/2023,"9,385",,"2,195",0,0,2462,"1,513",72,0,,618,792,103,200,0,0,0,0,"1,230",200,,,TRUE,,
152,,,3/1/2023,"6,780",,"1,251",0,0,"2,243",885,498,0,,958,350,159,GROUPS,0,0,0,0,436,,,,TRUE,,
153,,,3/8/2023,"6,593",,"1,334",0,0,"2,572","1,075",220,0,,313,326,217,GROUPS,0,0,0,0,536,,,,TRUE,,
154,,,3/15/2023,0,,,,,,,,,,,,,,,,,,,,,,FALSE,,
155,,,3/22/2023,"8,681",,"3,005",0,0,"2,775",882,433,0,,747,279,189,GROUPS,0,0,0,0,371,,,,TRUE,,
156,,,3/29/2023,9998,,702,0,0,"4,041","1,310",220,"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",,"1,319",1328,104,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,471,503,,,TRUE,,
157,,,4/5/2023,9057,,930,0,0,"3,763","1,057",60,"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",,655,493,594,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,267,"1,238",,,TRUE,,
158,,,4/12/2023,"6,850",,"1,034",0,0,"2,344","1,078",240,"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",,747,500,107,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,300,500,,,TRUE,,
159,,,4/19/2023,"14,032",,"1,956",0,0,"2,946","1,968",93,"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",,938,377,239,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,496,"5,019",,,TRUE,,
160,,,4/26/2023,"11,396",,"1,077",,,"4,789","1,034",232,N/A,,"1,263",531,190,,,,,,374,"1,906",,,TRUE,,
161,,,5/3/2023,"8,035",,"1,091",,,"2,875","1,646",222,,,720,450,84,,,,,,447,500,,,TRUE,,
162,,,5/10/2023,"9,122",,"1,266",,,"3,853","1,341",156,,,"1,165",218,94,,,,,,221,808,,,TRUE,,
163,,,5/17/2023,5804,,622,,,"1,472","1,246",125,,,988,233,230,,,,,,538,350,,,TRUE,,
164,,,5/24/2023,"9,209",,"2,481",,,"2,035","1,235",321,,,585,468,0,,,,,,184,"1,900",,,TRUE,,
165,,,5/31/2023,5427,,574,,,"1,360","1,607",172,,,304,198,87,,,,,,284,841,,,TRUE,,
166,,,6/7/2023,"9,172",,"1,095",,,"2,544","2,439",100,,,533,560,138,,,,,,255,"1,508",,,TRUE,,
167,,,6/14/2023,10990,,1399,,,3516,2231,102,,,811,570,39,,,,,,391,1931,,,TRUE,,
168,,,6/21/2023,8197,,1724,,,2274,1882,100,,,370,196,0,,,,,,304,"1,347",,,TRUE,,
169,,,6/28/2023,9110,,1672,,,1599,1880,126,,,460,179,96,,,,,,0,3098,,,TRUE,,
170,,,7/5/2023,0,,0,,,0,0,0,,,0,0,0,,,,,,0,0,,,FALSE,,
171,,,7/11/2023,9509,,2143,,,2350,1690,0,,,481,656,242,,,,,,283,1664,,,TRUE,,
172,,,7/19/2023,8823,,1035,,,2606,1448,0,,,532,629,94,,,,,,366,2113,,,TRUE,,
173,,,7/26/2023,8894,,2097,,,1904,1864,85,,,690,923,127,,,,,,349,855,,,TRUE,,
174,,,8/2/2023,6524,,1528,,,2480,862,0,,,522,214,128,,,,,,235,555,,,TRUE,,
175,,,8/9/2023,6531,,1962,,,1777,1105,0,,,457,362,230,,,,,,206,432,,,TRUE,,
176,,,8/16/2023,13520,,1292,,,2218,1570,66,,,298,245,162,,,,,,190,7479,,,TRUE,,
177,,,8/24/2023,6562,,1276,,,1650,970,97,,,579,237,172,,,,,,346,1235,,,TRUE,,
178,,,8/30/2023,6060,,1090,,,1182,1095,106,,,459,178,116,,,,,,349,1485,,,TRUE,,
179,,,9/6/2023,7435,,2262,,,1881,1060,92,,,305,400,80,,,,,,249,1106,,,TRUE,,
180,,,9/13/2023,8499,,615,,,2090,1605,82,,,888,746,228,,,,,,200,2045,,,TRUE,,
181,,,9/20/2023,8448,,1842,,,2138,1614,0,,,495,437,109,,,,,,635,1178,,,TRUE,,
