Collection Date,Host Name,Individual Sandwiches,Group Collections
2022-08-03,Intown Druid Hills,42,
2022-08-03,Snellville,102,
2022-08-10,Alpharetta,1697,
2022-08-10,Previous Buckhead,300,
2022-08-10,Dunwoody PTC,1616,
2022-08-10,E Cobb Roswell,1637,
2022-08-10,Decatur,72,
2022-08-10,Peachtree Corners,475,
2022-08-10,Sandy Springs,84,
2022-08-10,Intown Druid Hills,175,
2022-08-10,Snellville,135,
2022-08-10,Groups,375,
2022-08-10,Previous Lenox/Brookhaven,74,
2022-08-10,Groups - Main,375,
2022-08-17,Alpharetta,1339,
2022-08-17,Previous Buckhead,222,
2022-08-17,Dunwoody PTC,1818,
2022-08-17,E Cobb Roswell,1132,
2022-08-17,Decatur,79,
2022-08-17,Peachtree Corners,199,
2022-08-17,Sandy Springs,265,
2022-08-17,Snellville,175,
2022-08-17,Groups,1391,
2022-08-17,Previous Lenox/Brookhaven,60,
2022-08-17,Groups - Main,1391,
2022-08-24,Groups - Main,5986,
2022-08-31,Alpharetta,1310,
2022-08-31,Dunwoody PTC,1819,
2022-08-31,E Cobb Roswell,1321,
2022-08-31,Decatur,147,
2022-08-31,Peachtree Corners,224,
2022-08-31,Sandy Springs,32,
2022-08-31,Intown Druid Hills,106,
2022-08-31,Snellville,220,
2022-08-31,Groups,350,
2022-08-31,Previous Lenox/Brookhaven,230,
2022-08-31,Previous New Chastain,268,
2022-08-31,Groups - Main,350,
2022-09-07,Alpharetta,2611,
2022-09-07,Previous Buckhead,115,
2022-09-07,Dunwoody PTC,1458,
2022-09-07,E Cobb Roswell,1118,
2022-09-07,Decatur,190,
2022-09-07,Peachtree Corners,226,
2022-09-07,Sandy Springs,30,
2022-09-07,Intown Druid Hills,106,
2022-09-07,Snellville,150,
2022-09-07,Groups,1700,
2022-09-07,Previous Woodstock,150,
2022-09-07,Previous Lenox/Brookhaven,248,
2022-09-07,Previous New Chastain,146,
2022-09-07,Groups - Main,1700,
2022-09-14,Alpharetta,1043,
2022-09-14,Previous Buckhead,125,
2022-09-14,Previous Oak Grove,110,
2022-09-14,Dunwoody PTC,1981,
2022-09-14,E Cobb Roswell,1235,
2022-09-14,Decatur,54,
2022-09-14,Peachtree Corners,307,
2022-09-14,Sandy Springs,123,
2022-09-14,Intown Druid Hills,75,
2022-09-14,Snellville,190,
2022-09-14,Groups,2138,
2022-09-14,Previous Lenox/Brookhaven,160,
2022-09-14,Previous New Chastain,30,
2022-09-14,Groups - Main,2138,
2022-09-21,Alpharetta,2590,
2022-09-21,Previous Buckhead,217,
2022-09-21,Previous Oak Grove,120,
2022-09-21,Dunwoody PTC,831,
2022-09-21,E Cobb Roswell,1559,
2022-09-21,Decatur,30,
2022-09-21,Peachtree Corners,453,
2022-09-21,Sandy Springs,192,
2022-09-21,Intown Druid Hills,118,
2022-09-21,Snellville,160,
2022-09-21,Groups,1500,
2022-09-21,Previous Lenox/Brookhaven,190,
2022-09-21,Previous New Chastain,30,
2022-09-21,Previous Glenwood Park,178,
