Week_Number,Date,Total_Sandwiches,Loc_Column,Loc_ALPHARETTA,Loc_DUNWOODY/PTC,Loc_E,Loc_DECATUR,Loc_P'TREE,Loc_UGA/Athens,Loc_SANDY,Loc_INTOWN,Loc_SNELLVILLE,Loc_FLOWERY,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8
152,2023-03-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2023-03-22 00:00:00,8681,0,3005,2775,882,433,0,0,747,279,189,371,0,0,0,0,0,0,0,0
154,2023-03-29 00:00:00,9998,0,702,4041,1310,220,0,0,1319,1328,104,471,0,0,0,0,0,0,0,503
155,2023-04-05 00:00:00,9057,0,930,3763,1057,60,0,0,655,493,594,267,0,0,0,0,0,0,0,1238
156,2023-04-12 00:00:00,6850,0,1034,2344,1078,240,0,0,747,500,107,300,0,0,0,0,0,0,0,500
157,2023-04-19 00:00:00,14032,0,1956,2946,1968,93,0,0,938,377,239,496,0,0,0,0,0,0,0,5019
158,2023-04-26 00:00:00,11396,0,1077,4789,1034,232,0,0,1263,531,190,374,0,0,0,0,0,0,0,1906
159,2023-05-03 00:00:00,8035,0,1091,2875,1646,222,0,0,720,450,84,447,0,0,0,0,0,0,0,500
160,2023-05-10 00:00:00,9122,0,1266,3853,1341,156,0,0,1165,218,94,221,0,0,0,0,0,0,0,808
161,2023-05-17 00:00:00,5804,0,622,1472,1246,125,0,0,988,233,230,538,0,0,0,0,0,0,0,350
162,2023-05-24 00:00:00,9209,0,2481,2035,1235,321,0,0,585,468,0,184,0,0,0,0,0,0,0,1900
163,2023-05-31 00:00:00,5427,0,574,1360,1607,172,0,0,304,198,87,284,0,0,0,0,0,0,0,841
164,2023-06-07 00:00:00,9172,0,1095,2544,2439,100,0,0,533,560,138,255,0,0,0,0,0,0,0,1508
165,2023-06-14 00:00:00,10990,0,1399,3516,2231,102,0,0,811,570,39,391,0,0,0,0,0,0,0,1931
166,2023-06-21 00:00:00,8197,0,1724,2274,1882,100,0,0,370,196,0,304,0,0,0,0,0,0,0,1347
167,2023-06-28 00:00:00,9110,0,1672,1599,1880,126,0,0,460,179,96,0,0,0,0,0,0,0,0,3098
168,2023-07-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2023-07-11 00:00:00,9509,0,2143,2350,1690,0,0,0,481,656,242,283,0,0,0,0,0,0,0,1664
170,2023-07-19 00:00:00,8823,0,1035,2606,1448,0,0,0,532,629,94,366,0,0,0,0,0,0,0,2113
171,2023-07-26 00:00:00,8894,0,2097,1904,1864,85,0,0,690,923,127,349,0,0,0,0,0,0,0,855
172,2023-08-02 00:00:00,6524,0,1528,2480,862,0,0,0,522,214,128,235,0,0,0,0,0,0,0,555
173,2023-08-09 00:00:00,6531,0,1962,1777,1105,0,0,0,457,362,230,206,0,0,0,0,0,0,0,432
174,2023-08-16 00:00:00,13520,0,1292,2218,1570,66,0,0,298,245,162,190,0,0,0,0,0,0,0,7479
175,2023-08-24 00:00:00,6562,0,1276,1650,970,97,0,0,579,237,172,346,0,0,0,0,0,0,0,1235
176,2023-08-30 00:00:00,6060,0,1090,1182,1095,106,0,0,459,178,116,349,0,0,0,0,0,0,0,1485
177,2023-09-06 00:00:00,7435,0,2262,1881,1060,92,0,0,305,400,80,249,0,0,0,0,0,0,0,1106
178,2023-09-13 00:00:00,8499,0,615,2090,1605,82,0,0,888,746,228,200,0,0,0,0,0,0,0,2045
179,2023-09-20 00:00:00,8448,0,1842,2138,1614,0,0,0,495,437,109,635,0,0,0,0,0,0,0,1178
180,2023-09-27 00:00:00,9471,0,1922,1520,869,142,0,0,827,635,113,438,0,0,0,0,0,0,0,3005
181,2023-10-05 00:00:00,8220,0,1022,2880,1147,125,0,0,589,395,171,409,0,0,0,0,0,0,0,1482
182,2023-10-11 00:00:00,6576,0,2187,1127,1605,92,0,0,444,580,107,240,0,0,0,0,0,0,0,194
183,2023-10-18 00:00:00,10635,0,2107,1800,722,130,0,0,1159,751,126,205,0,0,0,0,0,0,0,3635
184,2023-10-25 00:00:00,10308,0,1339,1349,1379,121,0,0,669,1198,105,1163,0,0,0,0,0,0,0,2985
185,2023-11-01 00:00:00,6368,0,781,2451,937,135,0,0,296,365,129,219,0,0,0,0,0,0,0,1055
186,2023-11-08 00:00:00,9364,0,2028,1805,1552,0,0,0,928,935,88,267,0,0,0,0,0,0,0,1761
187,2023-11-15 00:00:00,19414,0,1722,2611,1501,91,0,0,996,626,90,499,0,0,0,0,0,0,0,11278
188,2023-11-29 00:00:00,10987,0,4232,2404,1537,82,0,0,718,1203,91,388,0,0,0,0,0,0,0,332
189,2023-12-06 00:00:00,12751,0,961,1714,2233,111,0,0,944,1387,128,292,0,0,0,0,0,0,0,4981
190,2023-12-13 00:00:00,8749,0,1343,1381,1806,113,0,0,630,1161,109,362,0,0,0,0,0,0,0,1844
191,2023-12-20 00:00:00,16444,0,2367,1792,1787,184,0,0,1052,460,106,0,0,0,0,0,0,0,0,8696
192,2024-01-03 00:00:00,5042,0,609,1480,1631,0,0,0,283,625,152,262,0,0,0,0,0,0,0,0
193,2024-01-10 00:00:00,7090,0,2000,2160,1162,102,0,0,771,225,185,0,0,0,0,0,0,0,0,485
194,2024-01-17 00:00:00,19130,0,905,1570,1297,320,0,0,1013,1208,85,480,0,0,0,0,0,0,0,12252
195,2024-01-24 00:00:00,8454,0,1788,1885,1278,82,0,0,700,823,180,0,0,0,0,0,0,0,0,1718
196,2024-01-31 00:00:00,9864,0,1859,1437,1296,128,0,0,935,723,0,232,0,0,0,0,0,0,0,3254
197,2024-02-07 00:00:00,7000,0,1526,1465,1048,72,0,0,605,214,110,0,0,0,0,0,0,0,0,1960
198,2024-02-14 00:00:00,10476,0,3087,1594,821,0,0,0,508,930,108,287,0,0,0,0,0,0,0,3141
199,2024-02-21 00:00:00,16353,0,2225,2628,1789,92,0,0,822,1351,396,0,0,0,0,0,0,0,0,7050
200,2024-02-28 00:00:00,6300,0,938,1708,946,81,0,0,451,749,74,353,0,0,0,0,0,0,0,1000
201,2024-03-06 00:00:00,9931,0,1324,1351,1160,102,0,0,367,745,74,264,0,0,0,0,0,0,0,4544
202,2024-03-13 00:00:00,8000,0,1254,1878,1849,106,0,0,788,277,114,0,0,0,0,0,0,0,0,1734
203,2024-03-20 00:00:00,11315,0,795,1672,1845,82,0,0,736,941,0,473,0,0,0,0,0,0,0,4771
204,2024-04-03 00:00:00,5407,0,757,2160,1629,0,0,0,179,482,0,0,0,0,0,0,0,0,0,200
