ID,Host Name,Individual Sandwiches,Collection Date,Group Collections,Submitted At
2621,"Alpharetta",1226,"2024-11-13","[]","6/8/2025, 1:05:54 PM"
2623,"East Cobb/Roswell",1389,"2024-11-13","[]","6/8/2025, 1:05:55 PM"
2627,"Flowery Branch",200,"2024-11-13","[]","6/8/2025, 1:05:55 PM"
2628,"Groups - Main",0,"2024-11-13","[{"groupName":"Unnamed Groups","sandwichCount":1780}]","6/8/2025, 1:05:55 PM"
2625,"Sandy Springs",554,"2024-11-13","[]","6/8/2025, 1:05:55 PM"
2624,"Decatur",54,"2024-11-13","[]","6/8/2025, 1:05:55 PM"
2619,"Flowery Branch",179,"2024-11-06","[]","6/8/2025, 1:05:54 PM"
2614,"Alpharetta",1427,"2024-11-06","[]","6/8/2025, 1:05:54 PM"
2617,"Sandy Springs",452,"2024-11-06","[]","6/8/2025, 1:05:54 PM"
2618,"Intown/Druid Hills",1380,"2024-11-06","[]","6/8/2025, 1:05:54 PM"
2620,"Groups - Main",0,"2024-11-06","[{"groupName":"Unnamed Groups","sandwichCount":550}]","6/8/2025, 1:05:54 PM"
2615,"Dunwoody/PTC",1449,"2024-11-06","[]","6/8/2025, 1:05:54 PM"
2616,"East Cobb/Roswell",1017,"2024-11-06","[]","6/8/2025, 1:05:54 PM"
2610,"Sandy Springs",452,"2024-10-30","[]","6/8/2025, 1:05:53 PM"
2607,"Alpharetta",1427,"2024-10-30","[]","6/8/2025, 1:05:53 PM"
2609,"East Cobb/Roswell",1017,"2024-10-30","[]","6/8/2025, 1:05:53 PM"
2612,"Flowery Branch",332,"2024-10-30","[]","6/8/2025, 1:05:54 PM"
2608,"Dunwoody/PTC",2035,"2024-10-30","[]","6/8/2025, 1:05:53 PM"
2611,"Intown/Druid Hills",1380,"2024-10-30","[]","6/8/2025, 1:05:54 PM"
2613,"Groups - Main",0,"2024-10-30","[{"groupName":"Unnamed Groups","sandwichCount":1330}]","6/8/2025, 1:05:54 PM"
2603,"Sandy Springs",224,"2024-10-23","[]","6/8/2025, 1:05:53 PM"
2602,"East Cobb/Roswell",594,"2024-10-23","[]","6/8/2025, 1:05:53 PM"
2604,"Intown/Druid Hills",768,"2024-10-23","[]","6/8/2025, 1:05:53 PM"
