# Sandwich Collections Report
# Generated: 6/30/2025, 4:52:20 AM
# Date Range: Jan 01, 2024 - Dec 31, 2024
# Total Records: 357

# EXECUTIVE SUMMARY
Total Sandwiches,295376
Total Hosts,0
Active Projects,0

# TOP PERFORMERS
Name,Count
"Dunwoody/PTC",80330
"Alpharetta",66595
"East Cobb/Roswell",60996
"Intown/Druid Hills",40786
"Sandy Springs",30560

# DETAILED DATA
id,date,hostName,individualSandwiches,groupCollections,submittedAt
"2530","2024-08-14","Dunwoody/PTC","2154","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2535","2024-08-14","Flowery Branch","150","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2534","2024-08-14","Intown/Druid Hills","547","[]","Sun Jun 08 2025 17:05:48 GMT+0000 (Coordinated Universal Time)"
"2531","2024-08-14","East Cobb/Roswell","1347","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2529","2024-08-14","Alpharetta","1074","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2526","2024-08-07","Intown/Druid Hills","428","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2525","2024-08-07","Sandy Springs","1074","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2521","2024-08-07","Alpharetta","1704","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2523","2024-08-07","East Cobb/Roswell","1455","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2528","2024-08-07","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":5000}]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2527","2024-08-07","Flowery Branch","226","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2524","2024-08-07","Decatur","54","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2522","2024-08-07","Dunwoody/PTC","1012","[]","Sun Jun 08 2025 17:05:47 GMT+0000 (Coordinated Universal Time)"
"2520","2024-07-31","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":2013}]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
"2516","2024-07-31","Decatur","162","[]","Sun Jun 08 2025 17:05:46 GMT+0000 (Coordinated Universal Time)"
